year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year,pct_inCook,year.y,cpi,ptell_cook,eq_factor_final,pct_in_Cook,av,first6_w_hr,agency_w_hr,total_final_levy_4log,log_eav,log_levy,log_av
2006,020040002,0,2005,1079192,1844437788,0.059,1831064454,34105926,1878543714,1878543714,1,145911,145911,0.008,140890,140890,0.008,CLERK,0.967213,NA,150283.5,020040,GENERAL ASSISTANCE BREMEN,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,693804001.3295908,020040_0,020040002_0,140891,21.353762693402242,11.855741820757956,20.357700059749927
2006,020040003,0,2005,605862,1844437788,0.033,1831064454,34105926,1878543714,1878543714,1,615376,615376,0.033,NA,615376,0.033,NA,NA,NA,619919.43,020040,ROAD AND BRIDGE BREMEN,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,693804001.3295908,020040_0,020040003_0,615377,21.353762693402242,13.329990367106003,20.357700059749927
2006,020050000,0,2005,730873,224952300,0.325,224394047,321829,225274129,225274129,1,513996,512642,0.228,491547,491547,0.219,CLERK,0.958702,NA,493350.34,020050,TOWN CALUMET,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,83200668.11936772,020050_0,020050000_0,491548,19.232828569692373,13.105314874024714,18.236765936040058
2006,020050002,0,2005,730873,224952300,0.325,224394047,321829,225274129,225274129,1,249725,249725,0.111,239464,239464,0.107,CLERK,0.958702,NA,241043.32,020050,GENERAL ASSISTANCE CALUMET,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,83200668.11936772,020050_0,020050002_0,239465,19.232828569692373,12.386162547366883,18.236765936040058
2006,020050003,0,2005,176337,224952300,0.079,224394047,321829,225274129,225274129,1,184263,184263,0.082,177514,177514,0.079,CLERK,0.963414,NA,177966.56,020050,ROAD AND BRIDGE CALUMET,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,83200668.11936772,020050_0,020050003_0,177515,19.232828569692373,12.086810391369342,18.236765936040058
2006,020060000,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,28941812,28941812,3.754,NA,28941812,3.754,NA,NA,NA,28946215.08,020060,TOWN CICERO,MUNICIPALITY/TOWNSHIP,TOWNSHIP,020060000,TOWN CICERO,Cicero,South,Cicero,0,1,2005,196.8,0.034,2.7076,1,284782311.641306,020060_1,020060000_1,28941813,20.463298261224597,17.180797924060943,19.46723562757228
2006,020060001,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,1338791,1338791,0.174,NA,1338791,0.174,NA,NA,NA,1341673.26,020060,TOWN OF CICERO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,020060000,TOWN CICERO,Cicero,South,Cicero,0,1,2005,196.8,0.034,2.7076,1,284782311.641306,020060_1,020060001_1,1338792,20.463298261224597,14.107278272801008,19.46723562757228
2006,020060002,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,180981,180981,0.024,NA,180981,0.024,NA,NA,NA,185058.38,020060,GENERAL ASSISTANCE CICERO,MUNICIPALITY/TOWNSHIP,GEN ASST,020060000,TOWN CICERO,Cicero,South,Cicero,0,1,2005,196.8,0.034,2.7076,1,284782311.641306,020060_1,020060002_1,180982,20.463298261224597,12.106152857788919,19.46723562757228
2006,020060004,1,NA,NA,NA,NA,783691685,2986020,771076587,771076587,1,518916,518916,0.068,NA,518916,0.068,NA,NA,NA,524332.08,020060,CICERO COMMUNITY MENTAL HEALTH FUND,MUNICIPALITY/TOWNSHIP,HEALTH,020060000,TOWN CICERO,Cicero,South,Cicero,0,1,2005,196.8,0.034,2.7076,1,284782311.641306,020060_1,020060004_1,518917,20.463298261224597,13.159499226430281,19.46723562757228
2006,020070000,0,2005,2291377,NA,0.056,NA,28576163,4115318181.818182,4115318181.818182,1,1810740,1810740,0.044,NA,1810740,0.044,NA,NA,NA,1836951.83,020070,TOWN ELK GROVE,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1519913643.750252,020070_0,020070000_0,1810741,22.13798199052077,14.409246711729054,21.141919356868456
2006,020070002,0,2005,2291377,NA,0.056,NA,28576163,4142888888.8888893,4142888888.8888893,1,372860,372860,0.009,NA,372860,0.009,NA,NA,NA,375740.15,020070,GENERAL ASSISTANCE ELK GROVE,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1530096354.2949069,020070_0,020070002_0,372861,22.144659180683462,12.828960975017642,21.148596547031147
2006,020070003,0,2005,389101,NA,0.01,NA,28576163,4131444444.4444447,4131444444.4444447,1,371830,371830,0.009,NA,371830,0.009,NA,NA,NA,375740.15,020070,ROAD AND BRIDGE ELK GROVE,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1525869568.7858047,020070_0,020070003_0,371831,22.141892927190572,12.826194728954016,21.145830293538257
2006,020080000,0,2005,1275452,NA,0.058,NA,18050713,2203781250,2203781250,1,369746,369746,0.017,352605,352605,0.016,CLERK,0.950819,NA,359342.84,020080,TOWN OF EVANSTON,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,813924231.791993,020080_0,020080000_0,352606,21.513440471950176,12.773106565250362,20.51737783829786
2006,020080002,0,2005,1275452,NA,0.058,NA,18050713,2229850000,2229850000,1,985990,985990,0.044,936537,936537,0.042,CLERK,0.950819,NA,943274.95,020080,GENERAL ASSISTANCE EVANSTON,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,823552223.3712513,020080_0,020080002_0,936538,21.525200155582084,13.749945376658127,20.52913752192977
2006,020090000,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,3753888,3753888,0.178,NA,3753888,0.178,NA,NA,NA,3773936.38,020090,TOWN OF HANOVER,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,783051032.2795095,020090_0,020090000_0,3753889,21.474771060808617,15.138302927231127,20.478708427156302
2006,020090002,0,2005,4566608,2022373714,0.226,1997584086,97815261,2120188975,2120188975,1,245790,245790,0.012,NA,245790,0.012,NA,NA,NA,254422.68,020090,GENERAL ASSISTANCE HANOVER,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,783051032.2795095,020090_0,020090002_0,245791,21.474771060808617,12.412236860309466,20.478708427156302
