first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
31270,VILLAGE OF TINLEY PARK,1,31270_1,Tinley Park_1,Tinley Park,31270000
31270,VILLAGE OF TINLEY PARK LIBRARY FUND,1,31270_1,Tinley Park_1,Tinley Park,31270001
31280,VILLAGE OF UNIVERSITY PARK,1,31280_1,University Park_1,University Park,31280000
31290,VILLAGE OF WESTCHESTER,0,31290_0,Westchester_0,Westchester,31290000
31290,VILLAGE OF WESTCHESTER LIBRARY FUND,0,31290_0,Westchester_0,Westchester,31290001
31300,VILLAGE OF WESTERN SPRINGS,0,31300_0,Western Springs_0,Western Springs,31300000
31300,VILLAGE OF WESTERN SPRINGS LIBRARY FUND,0,31300_0,Western Springs_0,Western Springs,31300001
31310,VILLAGE OF WHEELING,1,31310_1,Wheeling_1,Wheeling,31310000
31320,VILLAGE OF WILLOW SPRINGS,0,31320_0,Willow Springs_0,Willow Springs,31320000
31330,VILLAGE OF WILMETTE,1,31330_1,Wilmette_1,Wilmette,31330000
31340,VILLAGE OF WINNETKA,1,31340_1,Winnetka_1,Winnetka,31340000
31350,VILLAGE OF WORTH,0,31350_0,Worth_0,Worth,31350000
40130,SCHOOL DISTRICT 31 BOND DEFICIENCY LEVY,1,40130_1,drop_1,drop,40130010
40150,SD 35 BOND / PART ASSUMED SD 36 PER ANNEX,1,40150_1,drop_1,drop,40150001
40620,SD 101 BOND / PART ASSUMED BY SD 181 ANNEX,1,40620_1,drop_1,drop,40620001
40830,SD 122 BOND / PART ANNEXED BY SD 127 1/2 2010,1,40830_1,drop_1,drop,40830001
42070,HIGH SCHOOL 205 BOND / PART ASSUMED BY HIGH SCHOOL 215 PER ANNEX,1,42070_1,drop_1,drop,42070001
50010,ALSIP PARK DISTRICT,0,50010_0,Alsip_0,Alsip,50010000
50020,ARLINGTON HEIGHTS PARK DISTRICT,0,50020_0,Arlington Heights_0,Arlington Heights,50020000
50030,BARRINGTON HILLS PARK DISTRICT,0,50030_0,Barrington Hills_0,Barrington Hills,50030000
50040,BARRINGTON PARK DISTRICT,0,50040_0,Barrington_0,Barrington,50040000
50050,BARTLETT PARK DISTRICT,0,50050_0,Bartlett_0,Bartlett,50050000
50060,BEDFORD PARK PARK DISTRICT,0,50060_0,Bedford Park_0,Bedford Park,50060000
50070,BENSENVILLE PARK DISTRICT,0,50070_0,Bensenville_0,Bensenville,50070000
50080,BERKELEY PARK DISTRICT,0,50080_0,Berkeley_0,Berkeley,50080000
50090,BERWYN PARK DISTRICT,0,50090_0,Berwyn_0,Berwyn,50090000
50100,BLUE ISLAND PARK DISTRICT,0,50100_0,Blue Island_0,Blue Island,50100000
50110,BRIDGEVIEW PARK DISTRICT,0,50110_0,Bridgeview_0,Bridgeview,50110000
50120,BROADVIEW PARK DISTRICT,0,50120_0,Broadview_0,Broadview,50120000
50130,BUFFALO GROVE PARK DISTRICT,0,50130_0,Buffalo Grove_0,Buffalo Grove,50130000
50140,BURBANK PARK DISTRICT,0,50140_0,Burbank_0,Burbank,50140000
50150,BURR RIDGE PARK DISTRICT,0,50150_0,Burr Ridge_0,Burr Ridge,50150000
50160,CALUMET MEMORIAL PARK DISTRICT,0,50160_0,Calumet_0,Calumet City,50160000
50180,CENTRAL STICKNEY PARK DISTRICT,0,50180_0,Central Stickney_0,Central Stickney,50180000
50190,CHICAGO HEIGHTS PARK DISTRICT,0,50190_0,Chicago Heights_0,Chicago Heights,50190000
50200,CHICAGO PARK DISTRICT,0,50200_0,Chicago_0,Chicago,50200000
50200,CHICAGO PARK DISTRICT AQUARIUM & MUSEUM BONDS,1,50200_1,Chicago_1,Chicago,50200001
50210,CHICAGO RIDGE PARK DISTRICT,0,50210_0,Chicago Ridge_0,Chicago Ridge,50210000
50220,CLYDE PARK DISTRICT,0,50220_0,Cicero_0,Cicero,50220000
50230,COMMUNITY PARK DISTRICT OF LAGRANGE PARK,0,50230_0,La Grange Park_0,La Grange Park,50230000
50240,COUNTRY CLUB HILLS PARK DISTRICT,0,50240_0,Country Club Hills_0,Country Club Hills,50240000
50270,DEERFIELD PARK DISTRICT,0,50270_0,Deerfield_0,Deerfield,50270000
50280,DES PLAINES PARK DISTRICT,0,50280_0,Des Plaines_0,Des Plaines,50280000
50290,DIXMOOR PARK DISTRICT,0,50290_0,drop_0,drop,50290000
50300,DOLTON PARK DISTRICT,0,50300_0,Dolton_0,Dolton,50300000
50310,DUNDEE TOWNSHIP PARK DISTRICT,0,50310_0,Dundee-Town_0,Dundee - Town,50310000
50320,ELK GROVE PARK DISTRICT,0,50320_0,Elk Grove Village_0,Elk Grove Village,50320000
50330,ELMHURST PARK DISTRICT,0,50330_0,Elmhurst_0,Elmhurst,50330000
50345,FORD HEIGHTS PARK DISTRICT,0,50345_0,Ford Heights_0,Ford Heights,50345000
50350,FOREST PARK PARK DISTRICT,0,50350_0,Forest Park_0,Forest Park,50350000
50360,FOREST VIEW PARK DISTRICT,0,50360_0,Forest View_0,Forest View,50360000
50370,FRANKFORT PARK DISTRICT,0,50370_0,Frankfort_0,Frankfort,50370000
50380,FRANKFORT SQUARE PARK DISTRICT,0,50380_0,Frankfort_0,Frankfort,50380000
50390,GLENCOE PARK DISTRICT,0,50390_0,Glencoe_0,Glencoe,50390000
50400,GLENVIEW PARK DISTRICT,0,50400_0,Glenview_0,Glenview,50400000
50410,GOLF MAINE PARK DISTRICT,0,50410_0,GOLF MAINE PARK DISTRICT_0,GOLF MAINE PARK DISTRICT,50410000
50420,HANOVER PARK PARK DISTRICT,0,50420_0,Hanover Park_0,Hanover Park,50420000
50430,HARVEY PARK DISTRICT,0,50430_0,Harvey_0,Harvey,50430000
50440,HAWTHORNE PARK DISTRICT,0,50440_0,Hawthorne_0,Hawthorne,50440000
50450,HAZELCREST PARK DISTRICT,0,50450_0,Hazelcrest_0,Hazelcrest,50450000
50460,HICKORY HILLS PARK DISTRICT,0,50460_0,Hickory Hills_0,Hickory Hills,50460000
50470,HODGKINS PARK DISTRICT,0,50470_0,Hodgkins_0,Hodgkins,50470000
50480,HOFFMAN ESTATES PARK DISTRICT,0,50480_0,Hoffman Estates_0,Hoffman Estates,50480000
50490,HOMEWOOD FLOSSMOOR PARK DISTRICT,0,50490_0,HOMEWOOD FLOSSMOOR PARK DISTRICT_0,HOMEWOOD FLOSSMOOR PARK DISTRICT,50490000
50500,INVERNESS PARK DISTRICT,0,50500_0,Inverness_0,Inverness,50500000
50510,IVANHOE PARK DISTRICT,0,50510_0,Riverdale_0,Riverdale,50510000
50520,JUSTICE PARK DISTRICT,0,50520_0,Justice_0,Justice,50520000
50530,KENILWORTH PARK DISTRICT,0,50530_0,Kenilworth_0,Kenilworth,50530000
50540,LA GRANGE PARK DISTRICT,0,50540_0,La Grange_0,La Grange,50540000
50550,LAN OAK PARK DISTRICT,0,50550_0,LAN OAK PARK DISTRICT_0,LAN OAK PARK DISTRICT,50550000
50560,LEMONT PARK DISTRICT,0,50560_0,Lemont_0,Lemont,50560000
50570,LIGHTHOUSE PARK DISTRICT OF EVANSTON,0,50570_0,Evanston_0,Evanston,50570000
50580,MARKHAM PARK DISTRICT,0,50580_0,Markham_0,Markham,50580000
50600,MAYWOOD PARK DISTRICT,0,50600_0,Maywood_0,Maywood,50600000
50610,MC COOK PARK DISTRICT,0,50610_0,McCook_0,McCook,50610000
50630,MEMORIAL PARK DISTRICT,0,50630_0,Chicago-Memorial Park_0,drop,50630000
50640,MIDLOTHIAN PARK DISTRICT,0,50640_0,Midlothian_0,Midlothian,50640000
50650,MOKENA COMMUNITY PARK DISTRICT,0,50650_0,Mokena_0,Mokena,50650000
50650,MOKENA COMMUNITY PARK DISTRICT BOND 2005,1,50650_1,Mokena_1,Mokena,50650003
50660,MORTON GROVE PARK DISTRICT,0,50660_0,Morton Grove_0,Morton Grove,50660000
50670,MT PROSPECT PARK DISTRICT,0,50670_0,Mt Prospect_0,drop,50670000
50680,NILES PARK DISTRICT,0,50680_0,Niles_0,Niles,50680000
50690,NORRIDGE PARK DISTRICT,0,50690_0,Norridge_0,Norridge,50690000
50700,NORTH BERWYN PARK DISTRICT,0,50700_0,Berwyn_0,Berwyn,50700000
50710,NORTHBROOK PARK DISTRICT,0,50710_0,Northbrook_0,Northbrook,50710000
50720,NORTHFIELD PARK DISTRICT,0,50720_0,Northfield_0,Northfield,50720000
50730,OAK BROOK PARK DISTRICT,0,50730_0,Oak Brook_0,Oak Brook,50730000
50740,OAK FOREST PARK DISTRICT,0,50740_0,Oak Forest_0,Oak Forest,50740000
50750,OAK LAWN PARK DISTRICT,0,50750_0,Oak Lawn_0,Oak Lawn,50750000
50760,OAK PARK PARK DISTRICT,0,50760_0,Oak Park_0,Oak Park,50760000
50770,OLYMPIA FIELDS PARK DISTRICT,0,50770_0,Olympia Fields_0,Olympia Fields,50770000
50780,PALATINE PARK DISTRICT,0,50780_0,Palatine_0,Palatine,50780000
50800,PARK DISTRICT OF FRANKLIN PARK,0,50800_0,Franklin Park_0,Franklin Park,50800000
50810,PARK RIDGE PARK DISTRICT,0,50810_0,Park Ridge_0,Park Ridge,50810000
50820,PHOENIX PARK DISTRICT,0,50820_0,Phoenix_0,Phoenix,50820000
50830,PLEASANTDALE PARK DISTRICT,0,50830_0,Pleasantdale_0,Pleasantdale,50830000
50850,POSEN PARK DISTRICT,0,50850_0,Posen_0,Posen,50850000
50860,PROSPECT HEIGHTS PARK DISTRICT,0,50860_0,Prospect Heights_0,Prospect Heights,50860000
50880,RIDGEVILLE PARK DISTRICT,0,50880_0,Ridgeville_0,Ridgeville,50880000
50890,RIVER FOREST PARK DISTRICT,0,50890_0,River Forest_0,River Forest,50890000
50900,RIVER TRAILS PARK DISTRICT,0,50900_0,Mt Prospect and Prospect Heights_0,Mt Prospect and Prospect Heights,50900000
50910,RIVERDALE PARK DISTRICT,0,50910_0,Riverdale_0,Riverdale,50910000
50920,ROBBINS PARK DISTRICT,0,50920_0,Robbins_0,Robbins,50920000
50930,ROLLING MEADOWS PARK DISTRICT,0,50930_0,Rolling Meadows_0,Rolling Meadows,50930000
50940,ROSEMONT PARK DISTRICT,0,50940_0,Rosemont_0,Rosemont,50940000
50950,SALT CREEK RURAL PARK DISTRICT,0,50950_0,SALT CREEK RURAL PARK DISTRICT_0,SALT CREEK RURAL PARK DISTRICT,50950000
50960,SCHAUMBURG PARK DISTRICT,0,50960_0,Schaumburg_0,Schaumburg,50960000
50970,SKOKIE PARK DISTRICT,0,50970_0,Skokie_0,Skokie,50970000
50970,SKOKIE PARK DISTRICT BOND,0,50970_0,Skokie_0,Skokie,50970001
50980,SOUTH BARRINGTON PARK DISTRICT,0,50980_0,South Barrington_0,South Barrington,50980000
51000,STREAMWOOD PARK DISTRICT,0,51000_0,Streamwood_0,drop,51000000
51010,SUMMIT PARK DISTRICT,0,51010_0,Summit_0,Summit,51010000
51020,TINLEY PARK PARK DISTRICT,0,51020_0,Tinley Park_0,Tinley Park,51020000
51030,VETERANS PARK DISTRICT,0,51030_0,VETERANS PARK DISTRICT_0,VETERANS PARK DISTRICT,51030000
51050,WESTCHESTER PARK DISTRICT,0,51050_0,Westchester_0,Westchester,51050000
51060,WESTDALE PARK DISTRICT,0,51060_0,Westdale_0,Westdale,51060000
51070,WESTERN SPRINGS PARK DISTRICT,0,51070_0,Western Springs_0,Western Springs,51070000
51080,WHEELING PARK DISTRICT,0,51080_0,Wheeling_0,Wheeling,51080000
51090,WILMETTE PARK DISTRICT,0,51090_0,Wilmette_0,Wilmette,51090000
51100,WINNETKA PARK DISTRICT,0,51100_0,Winnetka_0,Winnetka,51100000
51200,WORTH PARK DISTRICT,0,51200_0,Worth_0,Worth,51200000
60010,ACORN PUBLIC LIBRARY DISTRICT,0,60010_0,Oak Forest_0,Oak Forest,60010000
60020,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,0,60020_0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT_0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,60020000
60030,BARRINGTON PUBLIC LIBRARY DISTRICT,0,60030_0,Barrington_0,Barrington,60030000
60040,BARTLETT PUBLIC LIBRARY DISTRICT,0,60040_0,Bartlett_0,Bartlett,60040000
60050,BEDFORD PARK PUBLIC LIBRARY DISTRICT,0,60050_0,Bedfood Park_0,Bedford Park,60050000
60060,BENSENVILLE COMMUNITY PUBLIC LIBRARY,0,60060_0,Bensenville_0,Bensenville,60060000
60080,BROADVIEW PUBLIC LIBRARY DISTRICT,0,60080_0,Broadview_0,Broadview,60080000
60090,CRESTWOOD PUBLIC LIBRARY DISTRICT,0,60090_0,Crestwood_0,Crestwood,60090000
60100,DIXMOOR PUBLIC LIBRARY DISTRICT,0,60100_0,Dixmoor_0,Dixmoor,60100000
60110,DOLTON PUBLIC LIBRARY DISTRICT,0,60110_0,Dolton_0,Dolton,60110000
60120,EAST HAZELCREST PUBLIC LIBRARY DISTRICT,0,60120_0,East Hazelcrest_0,East Hazelcrest,60120000
60130,EISENHOWER PUBLIC LIBRARY DISTRICT,0,60130_0,EISENHOWER PUBLIC LIBRARY DISTRICT_0,EISENHOWER PUBLIC LIBRARY DISTRICT,60130000
60140,FORD HEIGHTS PUBLIC LIBRARY DISTRICT,0,60140_0,Ford Heights_0,Ford Heights,60140000
60150,FRANKFORT PUBLIC LIBRARY DISTRICT,0,60150_0,Frankfort_0,Frankfort,60150000
60160,FRANKLIN PARK PUBLIC LIBRARY DISTRICT,0,60160_0,Franklin Park_0,Franklin Park,60160000
60170,GAIL BORDEN PUBLIC LIBRARY DISTRICT,0,60170_0,drop_0,drop,60170000
60180,GLENWOOD LYNWOOD PUBLIC LIBRARY DISTRICT,0,60180_0,GLENWOOD LYNWOOD PUBLIC LIBRARY DISTRICT_0,GLENWOOD LYNWOOD PUBLIC LIBRARY DISTRICT,60180000
60190,GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT,0,60190_0,GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT_0,GRANDE PRAIRIE PUBLIC LIBRARY DISTRICT,60190000
60200,GREEN HILLS PUBLIC LIBRARY DISTRICT,0,60200_0,GREEN HILLS PUBLIC LIBRARY DISTRICT_0,GREEN HILLS PUBLIC LIBRARY DISTRICT,60200000
60210,HARVEY PUBLIC LIBRARY DISTRICT,0,60210_0,Harvey_0,Harvey,60210000
60220,HODGKINS PUBLIC LIBRARY DISTRICT,0,60220_0,Hodgkins_0,Hodgkins,60220000
60230,HOMEWOOD PUBLIC LIBRARY DISTRICT,0,60230_0,Homewood_0,Homewood,60230000
60237,INDIAN PRAIRIE LIBRARY DISTRICT,0,60237_0,Indian Prarie_0,Indian Prarie,60237000
60240,INDIAN TRAILS PUBLIC LIBRARY DISTRICT,0,60240_0,Indian Trails_0,Indian Trails,60240000
60250,JUSTICE PUBLIC LIBRARY DISTRICT,0,60250_0,Justice_0,Justice,60250000
60260,KENILWORTH PUBLIC LIBRARY DISTRICT,0,60260_0,Kenilworth_0,Kenilworth,60260000
60270,LA GRANGE PARK PUBLIC LIBRARY DISTRICT,0,60270_0,La Grange Park_0,La Grange Park,60270000
60280,LEMONT PUBLIC LIBRARY BOND ANX PALOS PARK 2017,1,60280_1,LEMONT PUBLIC LIBRARY BOND ANX PALOS PARK 2017,drop,60280001
60280,LEMONT PUBLIC LIBRARY DISTRICT,0,60280_0,Lemont_0,Lemont,60280000
60290,LINCOLNWOOD PUBLIC LIBRARY DISTRICT,0,60290_0,Lincolnwood_0,Lincolnwood,60290000
60295,MATTESON AREA PUBLIC LIBRARY DISTRICT,0,60295_0,MATTESON AREA PUBLIC LIBRARY DISTRICT_0,MATTESON AREA PUBLIC LIBRARY DISTRICT,60295000
60300,MAYWOOD PUBLIC LIBRARY DISTRICT,0,60300_0,Maywood_0,Maywood,60300000
60310,MC COOK PUBLIC LIBRARY DISTRICT,0,60310_0,McCook_0,McCook,60310000
60320,NANCY L MCCONATHY PUBLIC LIBRARY DISTRICT,0,60320_0,NANCY L MCCONATHY PUBLIC LIBRARY DISTRICT_0,NANCY L MCCONATHY PUBLIC LIBRARY DISTRICT,60320000
60330,NILES PUBLIC LIBRARY DISTRICT,0,60330_0,Niles_0,Niles,60330000
60340,NORTH RIVERSIDE PUBLIC LIBRARY DISTRICT,0,60340_0,North Riverside_0,North Riverside,60340000
60350,NORTHLAKE PUBLIC LIBRARY DISTRICT,0,60350_0,Northlake_0,Northlake,60350000
60360,ORLAND HILLS PUBLIC LIBRARY DISTRICT,0,60360_0,Orland Hills_0,Orland Hills,60360000
60370,PALATINE PUBLIC LIBRARY DISTRICT,0,60370_0,Palatine_0,Palatine,60370000
60370,PALATINE PUBLIC LIBRARY DISTRICT BOND,1,60370_1,Palatine_1,Palatine,60370001
60380,PHOENIX PUBLIC LIBRARY DISTRICT,0,60380_0,Phoenix_0,Phoenix,60380000
60390,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0,60390_0,Poplar Creek_0,Poplar Creek,60390000
60400,POSEN PUBLIC LIBRARY DISTRICT,0,60400_0,Posen_0,Posen,60400000
60410,PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT,0,60410_0,Prairie Trails_0,Prairie Trails,60410000
60420,PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT,0,60420_0,Prospect Heights_0,Prospect Heights,60420000
60430,RICHTON PARK PUBLIC LIBRARY DISTRICT,0,60430_0,Richton Park_0,Richton Park,60430000
60440,RIVER GROVE PUBLIC LIBRARY DISTRICT,0,60440_0,River Grove_0,River Grove,60440000
60450,RIVERDALE PUBLIC LIBRARY DISTRICT,0,60450_0,Riverdale_0,Riverdale,60450000
60460,ROSELLE PUBLIC LIBRARY,0,60460_0,Roselle_0,Roselle,60460000
60480,SCHAUMBURG TOWNSHIP DISTRICT PUBLIC LIBRARY,0,60480_0,Schaumburg_0,Schaumburg,60480000
60490,STEGER SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,0,60490_0,STEGER SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,STEGER SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,60490000
60500,STICKNEY FOREST VIEW PUBLIC LIBRARY DISTRICT,0,60500_0,STICKNEY FOREST VIEW PUBLIC LIBRARY DISTRICT_0,STICKNEY FOREST VIEW PUBLIC LIBRARY DISTRICT,60500000
60510,SUMMIT PUBLIC LIBRARY DISTRICT,0,60510_0,Summit_0,Summit,60510000
60515,UNIVERSITY PARK PUBLIC LIBRARY DISTRICT,0,60515_0,University Park_0,University Park,60515000
60520,WILLIAM LEONARD PUBLIC LIBRARY DISTRICT,0,60520_0,Robbins_0,Robbins,60520000
60530,WILMETTE PUBLIC LIBRARY DISTRICT,0,60530_0,Wilmette_0,Wilmette,60530000
60540,WINNETKA - NORTHFIELD PUBLIC LIBRARY DISTRICT,0,60540_0,WINNETKA - NORTHFIELD PUBLIC LIBRARY DISTRICT_0,WINNETKA - NORTHFIELD PUBLIC LIBRARY DISTRICT,60540000
60550,WORTH PUBLIC LIBRARY DISTRICT,0,60550_0,Worth_0,Worth,60550000
70010,BARRINGTON COUNTRYSIDE FIRE PROTECTION DISTRICT,0,70010_0,BARRINGTON COUNTRYSIDE FIRE PROTECTION DISTRICT_0,BARRINGTON COUNTRYSIDE FIRE PROTECTION DISTRICT,70010000
70020,BARTLETT FIRE PROTECTION DISTRICT,0,70020_0,Bartlett_0,Bartlett,70020000
70025,BENSENVILLE FIRE PROTECTION DISTRICT 2,0,70025_0,Bensenville_0,Bensenville,70025000
70040,CENTRAL STICKNEY FIRE PROTECTION DISTRICT,0,70040_0,Central Stickney_0,Central Stickney,70040000
70070,COUNTRY CLUB HILLS FIRE PROTECTION DISTRICT,0,70070_0,COUNTRY CLUB HILLS FIRE PROTECTION DISTRICT,COUNTRY CLUB HILLS FIRE PROTECTION DISTRICT,70070000
70090,EAST DUNDEE & COUNTRYSIDE FIRE BOND 2018 DISC,1,70090_1,EAST DUNDEE & COUNTRYSIDE FIRE BOND 2018 DISC,drop,70090001
70090,EAST DUNDEE & COUNTRYSIDE FIRE PROTECTION DISTRICT,0,70090_0,EAST DUNDEE & COUNTRYSIDE FIRE PROTECTION DISTRICT,EAST DUNDEE & COUNTRYSIDE FIRE PROTECTION DISTRICT,70090000
70100,ELK GROVE RURAL FIRE PROTECTION DISTRICT,0,70100_0,ELK GROVE RURAL FIRE PROTECTION DISTRICT,ELK GROVE RURAL FIRE PROTECTION DISTRICT,70100000
70110,FOREST RIVER FIRE PROTECTION DISTRICT,0,70110_0,FOREST RIVER FIRE PROTECTION DISTRICT,Forest River,70110000
70120,FOREST VIEW FIRE PROTECTION DISTRICT,0,70120_0,FOREST VIEW FIRE PROTECTION DISTRICT,Forest View,70120000
70130,GARDEN HOMES FIRE PROTECTION DISTRICT,0,70130_0,GARDEN HOMES FIRE PROTECTION DISTRICT,GARDEN HOMES FIRE PROTECTION DISTRICT,70130000
70140,GLENBROOK FIRE DISTRICT,0,70140_0,GLENBROOK FIRE DISTRICT,Glenbrook,70140000
70160,HANOVER PARK FIRE PROTECTION DISTRICT,0,70160_0,HANOVER PARK FIRE PROTECTION DISTRICT,drop,70160000
70190,HOFFMAN ESTATES FIRE PROTECTION DISTRICT 1,0,70190_0,HOFFMAN ESTATES FIRE PROTECTION DISTRICT 1,HOFFMAN ESTATES FIRE PROTECTION DISTRICT 1,70190000
70200,HOLBROOK FIRE PROTECTION DISTRICT,0,70200_0,HOLBROOK FIRE PROTECTION DISTRICT,HOLBROOK FIRE PROTECTION DISTRICT,70200000
70210,HOMETOWN FIRE PROTECTION DISTRICT,0,70210_0,HOMETOWN FIRE PROTECTION DISTRICT,HOMETOWN FIRE PROTECTION DISTRICT,70210000
70220,LEMONT FIRE PROTECTION DISTRICT,0,70220_0,LEMONT FIRE PROTECTION DISTRICT,LEMONT FIRE PROTECTION DISTRICT,70220000
70230,LEYDEN FIRE PROTECTION DISTRICT,0,70230_0,LEYDEN FIRE PROTECTION DISTRICT,LEYDEN FIRE PROTECTION DISTRICT,70230000
70230,LEYDEN FIRE PROTECTION DISTRICT BOND,1,70230_1,LEYDEN FIRE PROTECTION DISTRICT BOND,drop,70230001
70240,LONG GROVE FIRE PROTECTION DISTRICT,0,70240_0,LONG GROVE FIRE PROTECTION DISTRICT,drop,70240000
70250,MILLER WOODS FIRE PROTECTION DISTRICT,0,70250_0,MILLER WOODS FIRE PROTECTION DISTRICT,Miller Woods,70250000
70270,MOKENA FIRE PROTECTION DISTRICT,0,70270_0,MOKENA FIRE PROTECTION DISTRICT,MOKENA FIRE PROTECTION DISTRICT,70270000
70290,NORTH LAKE FIRE PROTECTION DISTRICT,0,70290_0,NORTH LAKE FIRE PROTECTION DISTRICT,NORTH LAKE FIRE PROTECTION DISTRICT,70290000
70310,NORTH MAINE FIRE PROTECTION DISTRICT,0,70310_0,NORTH MAINE FIRE PROTECTION DISTRICT,NORTH MAINE FIRE PROTECTION DISTRICT,70310000
70310,NORTH MAINE FIRE PROTECTION DISTRICT BOND,1,70310_1,NORTH MAINE FIRE PROTECTION DISTRICT BOND,NORTH MAINE FIRE PROTECTION DISTRICT BOND,70310002
70320,NORTH PALOS FIRE PROTECTION DISTRICT,0,70320_0,NORTH PALOS FIRE PROTECTION DISTRICT,NORTH PALOS FIRE PROTECTION DISTRICT,70320000
70330,NORTHBROOK RURAL FIRE PROTECTION DISTRICT,0,70330_0,NORTHBROOK RURAL FIRE PROTECTION DISTRICT,NORTHBROOK RURAL FIRE PROTECTION DISTRICT,70330000
70340,NORTHWEST HOMER FIRE PROTECTION DISTRICT,0,70340_0,NORTHWEST HOMER FIRE PROTECTION DISTRICT,drop,70340000
70350,NORWOOD PARK FIRE PROTECTION DISTRICT,0,70350_0,NORWOOD PARK FIRE PROTECTION DISTRICT,NORWOOD PARK FIRE PROTECTION DISTRICT,70350000
70370,OLYMPIA GARDENS FIRE PROTECTION DISTRICT,0,70370_0,OLYMPIA GARDENS FIRE PROTECTION DISTRICT,OLYMPIA GARDENS FIRE PROTECTION DISTRICT,70370000
70380,ORLAND FIRE PROTECTION DISTRICT,0,70380_0,ORLAND FIRE PROTECTION DISTRICT,ORLAND FIRE PROTECTION DISTRICT,70380000
70390,PALATINE RURAL FIRE PROTECTION DISTRICT,0,70390_0,PALATINE RURAL FIRE PROTECTION DISTRICT,Palatine,70390000
70400,PALOS FIRE PROTECTION DISTRICT,0,70400_0,PALOS FIRE PROTECTION DISTRICT,PALOS FIRE PROTECTION DISTRICT,70400000
70410,PALOS HEIGHTS FIRE PROTECTION DISTRICT,0,70410_0,PALOS HEIGHTS FIRE PROTECTION DISTRICT,PALOS HEIGHTS FIRE PROTECTION DISTRICT,70410000
70440,PLEASANT VIEW FIRE PROTECTION DISTRICT,0,70440_0,PLEASANT VIEW FIRE PROTECTION DISTRICT,PLEASANT VIEW FIRE PROTECTION DISTRICT,70440000
70440,PLEASANT VIEW FIRE PROTECTION DISTRICT BOND,1,70440_1,PLEASANT VIEW FIRE PROTECTION DISTRICT BOND,PLEASANT VIEW FIRE PROTECTION DISTRICT BOND,70440001
70450,PROSPECT HEIGHTS FIRE PROTECTION DISTRICT,0,70450_0,PROSPECT HEIGHTS FIRE PROTECTION DISTRICT,Prospect Heights,70450000
70470,RIVERSIDE LAWN FIRE PROTECTION DISTRICT,0,70470_0,RIVERSIDE LAWN FIRE PROTECTION DISTRICT,RIVERSIDE LAWN FIRE PROTECTION DISTRICT,70470000
70480,ROBERTS PARK FIRE PROTECTION DISTRICT,0,70480_0,ROBERTS PARK FIRE PROTECTION DISTRICT,ROBERTS PARK FIRE PROTECTION DISTRICT,70480000
70500,ROSELLE FIRE PROTECTION DISTRICT,0,70500_0,ROSELLE FIRE PROTECTION DISTRICT,Roselle,70500000
70520,SUNNYCREST FIRE PROTECTION DISTRICT,0,70520_0,SUNNYCREST FIRE PROTECTION DISTRICT,SUNNYCREST FIRE PROTECTION DISTRICT,70520000
70525,TRI-STATE FIRE PROTECTION DISTRICT,0,70525_0,TRI-STATE FIRE PROTECTION DISTRICT,drop,70525000
70530,YORKFIELD FIRE PROTECTION DISTRICT,0,70530_0,YORKFIELD FIRE PROTECTION DISTRICT,drop,70530000
80030,CENTRAL STICKNEY SANITARY DISTRICT,0,80030_0,CENTRAL STICKNEY SANITARY DISTRICT,CENTRAL STICKNEY SANITARY DISTRICT,80030000
80050,CRAWFORD COUNTRYSIDE SANITARY DISTRICT,0,80050_0,CRAWFORD COUNTRYSIDE SANITARY_0 DISTRICT,CRAWFORD COUNTRYSIDE SANITARY DISTRICT,80050000
80070,FOREST RIVER SANITARY DISTRICT,0,80070_0,,FOREST RIVER SANITARY DISTRICT,80070000
80080,FOX RIVER WATER RECLAMATION DISTRICT,0,80080_0,FOX RIVER WATER RECLAMATION DISTRICT,drop,80080000
80090,GARDEN HOMES SANITARY DISTRICT,0,80090_0,GARDEN HOMES SANITARY DISTRICT,GARDEN HOMES SANITARY DISTRICT,80090000
80110,GLENBROOK SANITARY DISTRICT,0,80110_0,GLENBROOK SANITARY DISTRICT,GLENBROOK SANITARY DISTRICT,80110000
80150,KIMBERLY HEIGHTS SANITARY DISTRICT,0,80150_0,KIMBERLY HEIGHTS SANITARY DISTRICT,KIMBERLY HEIGHTS SANITARY DISTRICT,80150000
80160,LA GRANGE HIGHLANDS SANITARY DISTRICT,0,80160_0,LA GRANGE HIGHLANDS SANITARY DISTRICT,LA GRANGE HIGHLANDS SANITARY DISTRICT,80160000
80180,METRO WATER RECLAMATION BOND DISTRICT 2017 DISC,1,80180_1,METRO WATER RECLAMATION BOND DISTRICT 2017 DISC,drop,80180021
