year,uniqueid,grouped_label,home_rule_ind,lim_rate,agency_name,agency_num,total_final_levy,cty_total_eav,av,Triad,agency_count,reassess_year,log_eav,log_levy,log_av,bundled,panel_id,first2_dig,town,count
2006,Hodgkins_1_0,Hodgkins,1,NA,VILLAGE OF HODGKINS,030570000,2491281,209700596,77448883.14374354,South,1,0,19.16119133802357,14.728307593984155,18.165128704371256,0,NA,03,Muni,17
2006,Hoffman Estates_1_0,Hoffman Estates,1,NA,VILLAGE OF HOFFMAN ESTATES,030580000,13727555,1509125778,557066263.8499041,North,1,0,21.134796365147217,16.43491568468332,20.138194756434928,0,NA,03,Muni,17
2006,Inverness_1_0,Inverness,1,NA,VILLAGE OF INVERNESS,030630000,1129911,442824791,163548822.20416605,North,1,0,19.908684744133083,13.93764942652476,18.91262211048077,0,NA,03,Muni,17
2006,Lansing_1_1,Lansing,1,NA,VILLAGE OF LANSING,030680000,6328681,450595399,166418746.86068845,South,2,0,19.926080375080282,15.66060239957992,18.930017741427967,1,NA,03,Muni,17
2006,Lincolnwood_1_0,Lincolnwood,1,NA,VILLAGE OF LINCOLNWOOD,030700000,4693317,667457347,246512537.67173883,North,1,0,20.318986046571542,15.361650139906368,19.322923412919227,0,NA,03,Muni,17
2006,Markham_1_1,Markham,1,NA,CITY OF MARKHAM,030730000,7224431,145667387,53799448.58915646,South,2,0,18.79683640945962,15.792979034536225,17.800773775807304,1,NA,03,Muni,17
2006,Maywood_1_0,Maywood,1,NA,VILLAGE OF MAYWOOD,030750000,13157538,220366611,81388170.70468313,South,1,0,19.210803131026378,16.392505384292544,18.214740497374063,0,NA,03,Muni,17
2006,McCook_1_0,McCook,1,NA,VILLAGE OF MC COOK,030760000,2135695,137167003,50659995.19869996,South,1,0,18.736709741415144,14.57430267860455,17.74064710776283,0,NA,03,Muni,17
2006,Morton Grove_1_1,Morton Grove,1,NA,VILLAGE OF MORTON GROVE,030810000,11846581,807871893,298371950.4358103,North,2,0,20.509914055647936,16.287549860707834,19.51385142199562,1,NA,03,Muni,17
2006,Mount Prospect_1_1,Mount Prospect,1,NA,VILLAGE OF MT PROSPECT,030820000,21206053,1597309461,589935537.3762742,North,2,0,21.191586463862908,16.86979721775741,20.195523830210593,1,NA,03,Muni,17
2006,Niles_1_0,Niles,1,NA,VILLAGE OF NILES,030830000,4266760,1342136472,495692300.19205207,North,1,0,21.017528563321047,15.266365314982481,20.021465929668732,0,NA,03,Muni,17
2006,North Lake_1_0,North Lake,1,NA,CITY OF NORTH LAKE,030850000,3083437,330972945,122238493.4997784,North,1,0,19.61754719284055,14.941555441876925,18.621484559188236,0,NA,03,Muni,17
2006,Northbrook_1_1,Northbrook,1,NA,VILLAGE OF NORTHBROOK,030870000,14643387,2406955208.3333335,888962626.8035654,North,2,0,21.601628386655765,16.499499392198604,20.60556575300345,1,NA,03,Muni,17
2006,Oak Forest_1_0,Oak Forest,1,NA,CITY OF OAK FOREST,030900000,6545451,490681169,181223655.26665685,South,1,0,20.011305124534076,15.694280862515145,19.015242490881757,0,NA,03,Muni,17
2006,Oak Lawn_1_1,Oak Lawn,1,NA,VILLAGE OF OAK LAWN,030910000,17690676,1197916839,442427551.7063082,South,2,0,20.903849917702683,16.68854827908589,19.907787284050368,1,NA,03,Muni,17
2006,Oak Park_1_1,Oak Park,1,NA,VILLAGE OF OAK PARK,030920000,23963890,1461989313,539957642.5616783,South,2,0,21.10306388839776,16.992058671956755,20.107001254745445,1,NA,03,Muni,17
2006,Orland Park_1_1,Orland Park,1,NA,VILLAGE OF ORLAND PARK,030950000,15362228,2185539019.1897655,807186814.5921723,South,2,0,21.505128325775516,16.547422327248096,20.509065692123198,1,NA,03,Muni,17
2006,Palatine_1_0,Palatine,1,NA,VILLAGE OF PALATINE,030960000,19798962,1841693711,680194161.2498153,North,1,0,21.33395148028018,16.80114007004814,20.337888846627866,0,NA,03,Muni,17
2006,Park Ridge_1_1,Park Ridge,1,NA,CITY OF PARK RIDGE,031010000,13977901,1528372764,564475093.8100163,North,2,0,21.147469453435818,16.452988140435824,20.151406819783503,1,NA,03,Muni,17
2006,Phoenix_1_0,Phoenix,1,NA,VILLAGE OF PHOENIX,031020000,300342,7612035,2811358.767912543,South,1,0,15.845241105390759,12.612677104331764,14.849178471738444,0,NA,03,Muni,17
2006,Posen_1_0,Posen,1,NA,VILLAGE OF POSEN,031030000,865276,65191700,24077300.93071355,South,1,0,17.992842718179972,13.670803810164877,16.996780084527657,0,NA,03,Muni,17
2006,Riverdale_1_0,Riverdale,1,NA,VILLAGE OF RIVERDALE,031080000,3312244,135861088,50177680.60274783,South,1,0,18.727143509939143,15.01313646327126,17.73108087628683,0,NA,03,Muni,17
2006,Robbins_1_0,Robbins,1,NA,VILLAGE OF ROBBINS,031100000,949370,44937123,16596662.357807653,South,1,0,17.620774803980584,13.763553885695528,16.62471217032827,0,NA,03,Muni,17
2006,Rolling Meadows_1_1,Rolling Meadows,1,NA,CITY OF ROLLING MEADOWS,031110000,10160115,965178443,356470100.08863944,North,2,0,20.68782355723449,16.13398031894819,19.691760923582176,1,NA,03,Muni,17
2006,Rosemont_1_0,Rosemont,1,NA,VILLAGE OF ROSEMONT,031130000,5696606,340159415,125631339.56271237,North,1,0,19.64492493333745,15.555381116864325,18.648862299685135,0,NA,03,Muni,17
2006,Schiller Park_1_1,Schiller Park,1,NA,VILLAGE OF SCHILLER PARK,031160000,6439931,399111921,147404314.15275523,North,2,0,19.804752439279714,15.678028383737423,18.808689805627395,1,NA,03,Muni,17
2006,Skokie_1_1,Skokie,1,NA,VILLAGE OF SKOKIE,031170000,26047347,2434125196.850394,898997339.6551906,North,2,0,21.612853266857126,17.075426478366975,20.616790633204808,1,NA,03,Muni,17
2006,South Barrington_1_0,South Barrington,1,NA,VILLAGE OF SOUTH BARRINGTON,031180000,1821556,422251755,155950566.92273602,North,1,0,19.861112269949054,14.415201638850569,18.865049636296735,0,NA,03,Muni,17
2006,South Holland_1_1,South Holland,1,NA,VILLAGE OF SOUTH HOLLAND,031200000,9095756,446929657,165064875.53552964,South,2,0,19.917911773303995,16.0233184890747,18.92184913965168,1,NA,03,Muni,17
2006,Stickney_1_0,Stickney,1,NA,VILLAGE OF STICKNEY,031220000,2603484,132168822,48814013.14817551,South,1,0,18.699590617930404,14.77236110599294,17.70352798427809,0,NA,03,Muni,17
2006,Stone Park_1_0,Stone Park,1,NA,VILLAGE OF STONE PARK,031230000,1506564,55506311,20500188.72802482,South,1,0,17.832007283963687,14.22534211922564,16.835944650311372,0,NA,03,Muni,17
2006,Streamwood_1_0,Streamwood,1,NA,VILLAGE OF STREAMWOOD,031240000,7975658,817972633,302102464.54424584,North,1,0,20.522339438017138,15.89190471106859,19.526276804364823,0,NA,03,Muni,17
