year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year
2010,031170102,1,NA,NA,NA,NA,961501,0,839591,839591,1,5126,5126,0.611,NA,5126,0.611,NA,NA,NA,5129.9,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 3,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170103,1,NA,NA,NA,NA,20585144,0,19665189,19665189,1,92609,92609,0.471,NA,92609,0.471,NA,NA,NA,92623.04,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 4,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170104,1,NA,NA,NA,NA,1799108,17886,1665967,1665967,1,5526,5526,0.332,NA,5526,0.332,NA,NA,NA,5531.01,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 5,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170105,1,NA,NA,NA,NA,40135194,395977,38942344,38942344,1,279410,279410,0.718,NA,279410,0.718,NA,NA,NA,279606.03,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 6,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170106,1,NA,NA,NA,NA,18023224,0,18023224,18023224,1,0,0,0,NA,0,0,NA,NA,NA,0,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 7,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170107,1,NA,NA,NA,NA,4898759,47345,4363682,4363682,1,23585,23585,0.541,NA,23585,0.541,NA,NA,NA,23607.52,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 8,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031170108,1,NA,NA,NA,NA,75666804,0,76951465,76951465,1,348420,348420,0.453,NA,348420,0.453,NA,NA,NA,348590.14,031170,VILLAGE OF SKOKIE SPECIAL SERVICE AREA 9,MUNICIPALITY/TOWNSHIP,SSA,031170000,VILLAGE OF SKOKIE,Skokie,North,Niles,1
2010,031180000,1,NA,NA,NA,NA,591578696,4041977,571965294,571965294,1,2564700,2564700,0.449,NA,2564700,0.449,NA,NA,NA,2568124.17,031180,VILLAGE OF SOUTH BARRINGTON,MUNICIPALITY/TOWNSHIP,MUNI,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180100,1,NA,NA,NA,NA,7859292,0,6068443,6068443,1,51965,51965,0.857,NA,51965,0.857,NA,NA,NA,52006.56,031180,VILLAGE OF SO BARRINGTON SPECIAL SERVICE AREA 1,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180102,1,NA,NA,NA,NA,32703312,1274519,33006906,33006906,1,679731,679731,2.06,NA,679731,2.06,NA,NA,NA,679942.26,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 3,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180103,1,NA,NA,NA,NA,46935795,1550174,48743393,48743393,1,0,0,0,NA,0,0,NA,NA,NA,0,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 4,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180104,1,NA,NA,NA,NA,10767695,448232,11271924,11271924,1,0,0,0,NA,0,0,NA,NA,NA,0,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 5,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180105,1,NA,NA,NA,NA,32703312,1274519,33006906,33006906,1,0,0,0,NA,0,0,NA,NA,NA,0,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 6,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180106,1,NA,NA,NA,NA,81745245,2858541,90385211,90385211,1,0,0,0,NA,0,0,NA,NA,NA,0,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 7,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031180107,1,NA,NA,NA,NA,0,8067767,8033919,8033919,1,0,0,0,NA,0,0,NA,NA,NA,0,031180,VILLAGE OF SOUTH BARRINGTON SPECIAL SERVICE AREA 4A,MUNICIPALITY/TOWNSHIP,SSA,031180000,VILLAGE OF SOUTH BARRINGTON,South Barrington,North,Barrington,1
2010,031190000,0,2009,1371407,87327401,1.57,90189941,16870,87344271,87344271,1,1973482,1964213,2.249,1372171,1848094,2.116,CLERK,0.921948,475938.93,1848204.77,031190,VILLAGE OF SOUTH CHICAGO HEIGHTS,MUNICIPALITY/TOWNSHIP,MUNI,031190000,VILLAGE OF SOUTH CHICAGO HEIGHTS,South Chicago Heights,South,Bloom,0
2010,031200000,1,NA,NA,NA,NA,508467730,899416,502008316,502008316,1,9587571,9587571,1.91,NA,9587571,1.91,NA,NA,NA,9588358.84,031200,VILLAGE OF SOUTH HOLLAND,MUNICIPALITY/TOWNSHIP,MUNI,031200000,VILLAGE OF SOUTH HOLLAND,South Holland,South,Thornton,0
2010,031200001,1,NA,NA,NA,NA,508467730,899416,502008316,502008316,1,1617100,1617100,0.323,NA,1617100,0.323,NA,NA,NA,1621486.86,031200,VILLAGE OF SOUTH HOLLAND LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,031200000,VILLAGE OF SOUTH HOLLAND,South Holland,South,Thornton,0
2010,031200100,1,NA,NA,NA,NA,1723193,0,1713757,1713757,1,0,0,0,NA,0,0,NA,NA,NA,0,031200,VILLAGE OF SOUTH HOLLAND SPECIAL SERVICE AREA 1,MUNICIPALITY/TOWNSHIP,SSA,031200000,VILLAGE OF SOUTH HOLLAND,South Holland,South,Thornton,0
2010,031200101,1,NA,NA,NA,NA,7244505,0,7093849,7093849,1,0,0,0,NA,0,0,NA,NA,NA,0,031200,VILLAGE OF SOUTH HOLLAND SPECIAL SERVICE AREA 2,MUNICIPALITY/TOWNSHIP,SSA,031200000,VILLAGE OF SOUTH HOLLAND,South Holland,South,Thornton,0
2010,031200102,1,NA,NA,NA,NA,15333624,0,12507176,12507176,1,0,0,0,NA,0,0,NA,NA,NA,0,031200,VILLAGE OF SOUTH HOLLAND SPECIAL SERVICE AREA 3,MUNICIPALITY/TOWNSHIP,SSA,031200000,VILLAGE OF SOUTH HOLLAND,South Holland,South,Thornton,0
2010,031210000,0,2009,1870257,144159441,1.3,75651885,446576,76466220,144620411,0.5207999999999999,2036247,2036247,1.409,1876298,1013895,1.326,CLERK,0.954411,36703.79,1013942.08,031210,VILLAGE OF STEGER,MUNICIPALITY/TOWNSHIP,MUNI,031210000,VILLAGE OF STEGER,Steger,South,Bloom,0
2010,031220000,1,NA,NA,NA,NA,151572548,7557,154179136,154179136,1,3280573,3280573,2.128,NA,3280573,2.128,NA,NA,NA,3280932.01,031220,VILLAGE OF STICKNEY,MUNICIPALITY/TOWNSHIP,MUNI,031220000,VILLAGE OF STICKNEY,Stickney,South,Stickney,0
2010,031230000,1,NA,NA,NA,NA,66220191,313384,65635222,65635222,1,2445807,2445807,3.727,NA,2445807,3.727,NA,NA,NA,2446224.72,031230,VILLAGE OF STONE PARK,MUNICIPALITY/TOWNSHIP,MUNI,031230000,VILLAGE OF STONE PARK,Stone Park,South,Proviso,0
