year,agency_group,agency_name,agency_num,total_final_levy,major_type,minor_type,cty_total_eav,av,triad_name,agency_count,reassess_year,home_rule_ind,flag_drop,bundled,uniqueid,first2_dig,type,assess_year_av,est_value,r
2006,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,860897,MISCELLANEOUS,LIBRARY,560667771,207071861.05776334,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,NA,NA,NA
2007,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,890440,MISCELLANEOUS,LIBRARY,593135314,208564054.29164174,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,NA,NA,NA
2008,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,935833,MISCELLANEOUS,LIBRARY,648625608,217761904.25031894,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,217761904.25031894,-0.02812736705269392
2009,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,942940,MISCELLANEOUS,LIBRARY,666567867,197788750.18545446,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,211636835.23937663,-0.02812736705269392
2010,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,972689,MISCELLANEOUS,LIBRARY,683094003,206998182.72727275,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,217761904.25031894,205684048.2927282,-0.02812736705269392
2011,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,994901,MISCELLANEOUS,LIBRARY,593819071,199898697.56951457,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,199898697.56951457,-0.05474296859804417
2012,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1040086,MISCELLANEOUS,LIBRARY,537040459,191417329.27003136,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,188955649.4456767,-0.05474296859804417
2013,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1049465,MISCELLANEOUS,LIBRARY,498453013,187240529.2813944,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,199898697.56951457,178611656.26164898,-0.05474296859804417
2014,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1071591,MISCELLANEOUS,LIBRARY,460123093,168833923.97167286,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,168833923.97167286,0.011192628062314913
2015,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1084809,MISCELLANEOUS,LIBRARY,446389068,167280894.88476673,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,170723619.28698894,0.011192628062314913
2016,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1095921,MISCELLANEOUS,LIBRARY,462873755,165123342.96518266,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,168833923.97167286,172634465.25912046,0.011192628062314913
2017,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1122341,MISCELLANEOUS,LIBRARY,517188758,174566698.61950248,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,174566698.61950248,0.01182634576316266
2018,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1147848,MISCELLANEOUS,LIBRARY,502422330,172600340.1009997,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,176631184.75611052,0.01182634576316266
2019,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1175891,MISCELLANEOUS,LIBRARY,497949023,170764411.17969823,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,174566698.61950248,178720086.21959335,0.01182634576316266
2020,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1224585,MISCELLANEOUS,LIBRARY,582899322,180833691.75404853,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,180833691.75404853,0.10386809898522409
2021,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1248609,MISCELLANEOUS,LIBRARY,531129872,176884094.98118362,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,199616543.54902154,0.10386809898522409
2022,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1334001,MISCELLANEOUS,LIBRARY,516879499,176789512.94592467,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other,180833691.75404853,220350334.45345962,0.10386809898522409
2023,Acorn Public Library District,ACORN PUBLIC LIBRARY DISTRICT,060010000,1389795,MISCELLANEOUS,LIBRARY,733677889,243237704.8038988,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other,243237704.8038988,243237704.8038988,0.10386809898522409
2006,Alsip,VILLAGE OF ALSIP,030010000,5740624,MUNICIPALITY/TOWNSHIP,MUNI,680364001,251279362.16575566,South,1,0,1,NA,0,Alsip_1_0,03,Muni,NA,NA,NA
2007,Alsip,VILLAGE OF ALSIP,030010000,6200201,MUNICIPALITY/TOWNSHIP,MUNI,710758298,249923801.11818278,South,1,0,1,NA,0,Alsip_1_0,03,Muni,NA,NA,NA
2008,Alsip,VILLAGE OF ALSIP,030010000,6675970,MUNICIPALITY/TOWNSHIP,MUNI,801937100,269232894.6484926,South,1,1,1,NA,0,Alsip_1_0,03,Muni,269232894.6484926,269232894.6484926,-0.09195122581054949
2009,Alsip,VILLAGE OF ALSIP,030010000,7388820,MUNICIPALITY/TOWNSHIP,MUNI,749936394,222526451.44061008,South,1,0,1,NA,0,Alsip_1_0,03,Muni,269232894.6484926,244476599.95704114,-0.09195122581054949
2010,Alsip,VILLAGE OF ALSIP,030010000,7951942,MUNICIPALITY/TOWNSHIP,MUNI,722163750,218837500,South,1,0,1,NA,0,Alsip_1_0,03,Muni,269232894.6484926,221996676.90899587,-0.09195122581054949
2011,Alsip,VILLAGE OF ALSIP,030010000,7951491,MUNICIPALITY/TOWNSHIP,MUNI,598824867,201583810.34134516,South,1,1,1,NA,0,Alsip_1_0,03,Muni,201583810.34134516,201583810.34134516,-0.036242506326264246
2012,Alsip,VILLAGE OF ALSIP,030010000,8316784,MUNICIPALITY/TOWNSHIP,MUNI,548725983,195582400.55603078,South,1,0,1,NA,0,Alsip_1_0,03,Muni,201583810.34134516,194277907.8197765,-0.036242506326264246
2013,Alsip,VILLAGE OF ALSIP,030010000,8731946,MUNICIPALITY/TOWNSHIP,MUNI,510949666,191934813.11746365,South,1,0,1,NA,0,Alsip_1_0,03,Muni,201583810.34134516,187236789.51656488,-0.036242506326264246
2014,Alsip,VILLAGE OF ALSIP,030010000,8991078,MUNICIPALITY/TOWNSHIP,MUNI,491782726,180450858.98800135,South,1,1,1,NA,0,Alsip_1_0,03,Muni,180450858.98800135,180450858.98800135,0.028033982896563225
2015,Alsip,VILLAGE OF ALSIP,030010000,9456041,MUNICIPALITY/TOWNSHIP,MUNI,470501161,176316717.63162827,South,1,0,1,NA,0,Alsip_1_0,03,Muni,180450858.98800135,185509615.28254113,0.028033982896563225
2016,Alsip,VILLAGE OF ALSIP,030010000,9916284,MUNICIPALITY/TOWNSHIP,MUNI,493231381,175952975.52796805,South,1,0,1,NA,0,Alsip_1_0,03,Muni,180450858.98800135,190710188.6645199,0.028033982896563225
2017,Alsip,VILLAGE OF ALSIP,030010000,12907318,MUNICIPALITY/TOWNSHIP,MUNI,580856755,196056554.83174133,South,1,1,1,NA,0,Alsip_1_0,03,Muni,196056554.83174133,196056554.83174133,0.03132310606989486
2018,Alsip,VILLAGE OF ALSIP,030010000,13230642,MUNICIPALITY/TOWNSHIP,MUNI,563629340,193627173.72633895,South,1,0,1,NA,0,Alsip_1_0,03,Muni,196056554.83174133,202197655.0944341,0.03132310606989486
2019,Alsip,VILLAGE OF ALSIP,030010000,13628222,MUNICIPALITY/TOWNSHIP,MUNI,569436644,195280056.24142662,South,1,0,1,NA,0,Alsip_1_0,03,Muni,196056554.83174133,208531113.6920411,0.03132310606989486
2020,Alsip,VILLAGE OF ALSIP,030010000,14215816,MUNICIPALITY/TOWNSHIP,MUNI,693233932,215062955.8850903,South,1,1,1,NA,0,Alsip_1_0,03,Muni,215062955.8850903,215062955.8850903,0.08805508117831273
2021,Alsip,VILLAGE OF ALSIP,030010000,14868240,MUNICIPALITY/TOWNSHIP,MUNI,643517971,214313108.53565127,South,1,0,1,NA,0,Alsip_1_0,03,Muni,215062955.8850903,234000341.92399982,0.08805508117831273
2022,Alsip,VILLAGE OF ALSIP,030010000,14956664,MUNICIPALITY/TOWNSHIP,MUNI,622615824,212954757.32804322,South,1,0,1,NA,0,Alsip_1_0,03,Muni,215062955.8850903,254605261.02787057,0.08805508117831273
2023,Alsip,VILLAGE OF ALSIP,030010000,15658252,MUNICIPALITY/TOWNSHIP,MUNI,835589144,277024547.9561052,South,1,1,1,NA,0,Alsip_1_0,03,Muni,277024547.9561052,277024547.9561052,0.08805508117831273
2006,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2280203,MISCELLANEOUS,LIBRARY,732479205,270527110.72536564,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,NA,NA,NA
2007,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2353352,MISCELLANEOUS,LIBRARY,765568414,269196671.472274,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,NA,NA,NA
2008,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2459700,MISCELLANEOUS,LIBRARY,862684686,289627572.0136977,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,289627572.0136977,289627572.0136977,-0.09037593928617715
2009,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2487092,MISCELLANEOUS,LIBRARY,807759976,239684275.24405804,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,289627572.0136977,263452208.14978483,-0.09037593928617715
2010,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2568789,MISCELLANEOUS,LIBRARY,778421145,235885195.45454547,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,289627572.0136977,239642467.38123056,-0.09037593928617715
2011,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2610901,MISCELLANEOUS,LIBRARY,647544917,217984554.29879484,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,217984554.29879484,217984554.29879484,-0.03325685552203517
2012,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2699099,MISCELLANEOUS,LIBRARY,593730719,211623438.4801825,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,217984554.29879484,210735073.4704446,-0.03325685552203517
2013,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2758069,MISCELLANEOUS,LIBRARY,553315945,207849421.5093347,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,217984554.29879484,203726687.57861254,-0.03325685552203517
2014,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2847803,MISCELLANEOUS,LIBRARY,536751592,196951378.56382784,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,196951378.56382784,196951378.56382784,0.027457625924399043
2015,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2887726,MISCELLANEOUS,LIBRARY,513748813,192523445.006558,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,196951378.56382784,202359195.84172812,0.027457625924399043
2016,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2892400,MISCELLANEOUS,LIBRARY,537193023,191635638.91267124,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,196951378.56382784,207915498.9435125,0.027457625924399043
2017,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2892400,MISCELLANEOUS,LIBRARY,632904906,213624364.9373882,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,213624364.9373882,213624364.9373882,0.02972168643446582
2018,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926100,MISCELLANEOUS,LIBRARY,614143657,210980678.48431757,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,213624364.9373882,219973641.32681915,0.02972168643446582
2019,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926700,MISCELLANEOUS,LIBRARY,621671143,213193121.7421125,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,213624364.9373882,226511628.91818252,0.02972168643446582
2020,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926700,MISCELLANEOUS,LIBRARY,751838505,233243936.52664888,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,233243936.52664888,233243936.52664888,0.08967257798345307
2021,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2997830,MISCELLANEOUS,LIBRARY,701890885,233753250.40796617,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,233243936.52664888,254159521.61400238,0.08967257798345307
2022,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,3077494,MISCELLANEOUS,LIBRARY,679368510,232366012.24475834,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,233243936.52664888,276950661.1361711,0.08967257798345307
2023,Alsip Merrionette Park Public Library District,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,3009590,MISCELLANEOUS,LIBRARY,910275727,301785540.8944733,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other,301785540.8944733,301785540.8944733,0.08967257798345307
2006,Alsip Park District,ALSIP PARK DISTRICT,050010000,2374624,MISCELLANEOUS,PARK,691728423,255476592.92362243,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,NA,NA,NA
2007,Alsip Park District,ALSIP PARK DISTRICT,050010000,2438122,MISCELLANEOUS,PARK,722589248,254083915.74949893,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,NA,NA,NA
2008,Alsip Park District,ALSIP PARK DISTRICT,050010000,2528878,MISCELLANEOUS,PARK,816197118,274020384.7445108,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,274020384.7445108,274020384.7445108,-0.0931186386344266
2009,Alsip Park District,ALSIP PARK DISTRICT,050010000,2703420,MISCELLANEOUS,PARK,757647278,224814479.68903002,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,274020384.7445108,248503979.5590202,-0.0931186386344266
2010,Alsip Park District,ALSIP PARK DISTRICT,050010000,2752285,MISCELLANEOUS,PARK,730998592,221514724.84848487,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,274020384.7445108,225363627.28724685,-0.0931186386344266
2011,Alsip Park District,ALSIP PARK DISTRICT,050010000,2744591,MISCELLANEOUS,PARK,607125504,204378073.1165421,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,204378073.1165421,204378073.1165421,-0.036998428163966146
2012,Alsip Park District,ALSIP PARK DISTRICT,050010000,2750587,MISCELLANEOUS,PARK,556378456,198309971.48560023,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,204378073.1165421,196816405.6600499,-0.036998428163966146
2013,Alsip Park District,ALSIP PARK DISTRICT,050010000,2854424,MISCELLANEOUS,PARK,517739000,194485180.8722437,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,204378073.1165421,189534508.0137465,-0.036998428163966146
2014,Alsip Park District,ALSIP PARK DISTRICT,050010000,2906639,MISCELLANEOUS,PARK,497427286,182522029.13440722,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,182522029.13440722,182522029.13440722,0.029297571785324772
2015,Alsip Park District,ALSIP PARK DISTRICT,050010000,2923180,MISCELLANEOUS,PARK,475366193,178139851.22728124,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,182522029.13440722,187869481.38537565,0.029297571785324772
2016,Alsip Park District,ALSIP PARK DISTRICT,050010000,2953263,MISCELLANEOUS,PARK,499852448,178314942.92237443,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,182522029.13440722,193373601.00253543,0.029297571785324772
2017,Alsip Park District,ALSIP PARK DISTRICT,050010000,3049158,MISCELLANEOUS,PARK,589692780,199038977.9592939,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,199038977.9592939,199038977.9592939,0.030229164597556757
2018,Alsip Park District,ALSIP PARK DISTRICT,050010000,3122615,MISCELLANEOUS,PARK,571564931,196353337.79930606,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,199038977.9592939,205055759.98535487,0.030229164597556757
2019,Alsip Park District,ALSIP PARK DISTRICT,050010000,3189659,MISCELLANEOUS,PARK,577934505,198194274.69135803,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,199038977.9592939,211254424.30562925,0.030229164597556757
2020,Alsip Park District,ALSIP PARK DISTRICT,050010000,3255922,MISCELLANEOUS,PARK,701542288,217640469.06992617,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,217640469.06992617,217640469.06992617,0.0877088195563247
2021,Alsip Park District,ALSIP PARK DISTRICT,050010000,3363759,MISCELLANEOUS,PARK,651077075,216830544.17690745,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,217640469.06992617,236729457.69973418,0.0877088195563247
2022,Alsip Park District,ALSIP PARK DISTRICT,050010000,3644992,MISCELLANEOUS,PARK,629633151,215354910.21650648,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other,217640469.06992617,257492718.98878676,0.0877088195563247
2023,Alsip Park District,ALSIP PARK DISTRICT,050010000,3835016,MISCELLANEOUS,PARK,844796561,280077101.41564167,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other,280077101.41564167,280077101.41564167,0.0877088195563247
2006,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,36783532,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2880819960.0478754,1063607032.7402775,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,NA,NA,NA
2007,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,38363139,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3382878368.654022,1189637317.5908868,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,1189637317.5908868,1189637317.5908868,-0.04702009629607651
2008,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,38829205,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3621928402.4535027,1216175942.4057817,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1189637317.5908868,1133700456.3603573,-0.04702009629607651
2009,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,40960514,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3695204282.310564,1097770086.0174525,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1189637317.5908868,1080393751.7313874,-0.04702009629607651
2010,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,42582581,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3394558325.0994024,1029593533.487298,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,1029593533.487298,1029593533.487298,-0.033046536005126526
2011,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,42825033,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3091714089.248752,1041078238.6409502,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1029593533.487298,995569033.7122645,-0.033046536005126526
2012,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,43772138,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2856866616.5805187,1018570472.7214926,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1029593533.487298,962668925.7941031,-0.033046536005126526
2013,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,45021154,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2478056617.6311917,930856052.4768319,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,930856052.4768319,930856052.4768319,0.03541290997658142
2014,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,45471366,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2503756286.5288563,918868685.6489972,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,930856052.4768319,963820374.0643499,0.03541290997658142
2015,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,47078259,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2444998060.112273,916813619.9960761,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,930856052.4768319,997952058.2046857,0.03541290997658142
2016,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,48205322,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2894266002.98473,1033292444.6028326,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,1033292444.6028326,1033292444.6028326,0.03759130010088785
2017,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,49959844,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2945616069.1525583,994334072.9501246,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1033292444.6028326,1072135250.9798777,0.03759130010088785
2018,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,51315596,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",2919043835.515397,1002744543.2371745,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1033292444.6028326,1112438208.948203,0.03759130010088785
2019,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,51828752,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3365262610.7267013,1154256207.5044692,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,1154256207.5044692,1154256207.5044692,0.03343391422280728
2020,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,52347010,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3384969525.577694,1050827737.6361613,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1154256207.5044692,1192847510.5373163,0.03343391422280728
2021,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,52870391,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3121218219.3342257,1039334219.1098287,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1154256207.5044692,1232729071.8855102,0.03343391422280728
2022,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,52296369,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3720369134.2143745,1273944029.9348912,North,2,1,1,NA,1,Arlington Heights_1_1,03,Muni,1273944029.9348912,1273944029.9348912,0.03343391422280728
2023,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,030020000,53928012,MUNICIPALITY/TOWNSHIP,"c(""MUNI"", ""LIBRARY"")",3842227204.902075,1274983787.2961602,North,2,0,1,NA,1,Arlington Heights_1_1,03,Muni,1273944029.9348912,1316536965.356392,0.03343391422280728
2006,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12531652,MISCELLANEOUS,PARK,2718362689.804772,1003974992.5412809,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,NA,NA,NA
2007,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12914014,MISCELLANEOUS,PARK,3196538118.811881,1123998072.650895,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other,1123998072.650895,1123998072.650895,-0.04352947417473019
2008,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12954238,MISCELLANEOUS,PARK,3418004749.340369,1147520563.1304536,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,1123998072.650895,1075071027.5749915,-0.04352947417473019
2009,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13782839,MISCELLANEOUS,PARK,3516030357.142857,1043301491.6895218,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,1123998072.650895,1028273751.0441653,-0.04352947417473019
2010,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14605176,MISCELLANEOUS,PARK,3245594666.6666665,983513535.3535354,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other,983513535.3535354,983513535.3535354,-0.031195926756018122
2011,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14703506,MISCELLANEOUS,PARK,2964416532.2580647,997918444.8455075,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,983513535.3535354,952831919.1410941,-0.031195926756018122
2012,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14951599,MISCELLANEOUS,PARK,2743412660.550459,977834566.7773235,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,983513535.3535354,923107444.3807724,-0.031195926756018122
2013,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15062963,MISCELLANEOUS,PARK,2380743322.269638,894310252.1579347,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other,894310252.1579347,894310252.1579347,0.035036883895722015
2014,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15301614,MISCELLANEOUS,PARK,2405914150.943396,882807085.804644,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,894310252.1579347,925644096.629546,0.035036883895722015
2015,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14683432,MISCELLANEOUS,PARK,2345596166.1341853,878994253.7508658,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,894310252.1579347,958075781.3719159,0.035036883895722015
2016,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13565306,MISCELLANEOUS,PARK,2779775819.672131,991643771.2871473,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other,991643771.2871473,991643771.2871473,0.03700968534095783
2017,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13953392,MISCELLANEOUS,PARK,2824573279.3522267,953378094.0872267,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,991643771.2871473,1028344195.2328054,0.03700968534095783
2018,Arlington Heights Park District,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14368978,MISCELLANEOUS,PARK,2795521011.6731515,960363121.9461856,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other,991643771.2871473,1066402890.320572,0.03700968534095783
