agency_group,year,av,assess_year_av,av_true,rate_smooth,agency_name,agency_num,total_final_levy,major_type,minor_type,cty_total_eav,triad_name,agency_count,reassess_year,home_rule_ind,flag_drop,bundled,uniqueid,first2_dig,type
Acorn Public Library District,2006,207071861.05776334,NA,NA,NA,ACORN PUBLIC LIBRARY DISTRICT,060010000,860897,MISCELLANEOUS,LIBRARY,560667771,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2007,208564054.29164174,NA,NA,NA,ACORN PUBLIC LIBRARY DISTRICT,060010000,890440,MISCELLANEOUS,LIBRARY,593135314,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2008,217761904.25031894,217761904.25031894,217761904.25031894,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,935833,MISCELLANEOUS,LIBRARY,648625608,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2009,197788750.18545446,217761904.25031894,211636835.23937663,-0.02812736705269392,ACORN PUBLIC LIBRARY DISTRICT,060010000,942940,MISCELLANEOUS,LIBRARY,666567867,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2010,206998182.72727275,217761904.25031894,208639212.6132959,-0.041892964099617847,ACORN PUBLIC LIBRARY DISTRICT,060010000,972689,MISCELLANEOUS,LIBRARY,683094003,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2011,199898697.56951457,199898697.56951457,199898697.56951457,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,994901,MISCELLANEOUS,LIBRARY,593819071,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2012,191417329.27003136,199898697.56951457,188955649.4456767,-0.05474296859804417,ACORN PUBLIC LIBRARY DISTRICT,060010000,1040086,MISCELLANEOUS,LIBRARY,537040459,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2013,187240529.2813944,199898697.56951457,183710863.87986925,-0.08098018589648903,ACORN PUBLIC LIBRARY DISTRICT,060010000,1049465,MISCELLANEOUS,LIBRARY,498453013,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2014,168833923.97167286,168833923.97167286,168833923.97167286,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1071591,MISCELLANEOUS,LIBRARY,460123093,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2015,167280894.88476673,168833923.97167286,170723619.28698894,0.011192628062314913,ACORN PUBLIC LIBRARY DISTRICT,060010000,1084809,MISCELLANEOUS,LIBRARY,446389068,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2016,165123342.96518266,168833923.97167286,171676383.7069939,0.016835832920627736,ACORN PUBLIC LIBRARY DISTRICT,060010000,1095921,MISCELLANEOUS,LIBRARY,462873755,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2017,174566698.61950248,174566698.61950248,174566698.61950248,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1122341,MISCELLANEOUS,LIBRARY,517188758,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2018,172600340.1009997,174566698.61950248,176631184.75611052,0.01182634576316266,ACORN PUBLIC LIBRARY DISTRICT,060010000,1147848,MISCELLANEOUS,LIBRARY,502422330,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2019,170764411.17969823,174566698.61950248,177672565.6050506,0.01779186414195677,ACORN PUBLIC LIBRARY DISTRICT,060010000,1175891,MISCELLANEOUS,LIBRARY,497949023,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2020,180833691.75404853,180833691.75404853,180833691.75404853,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1224585,MISCELLANEOUS,LIBRARY,582899322,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2021,176884094.98118362,180833691.75404853,199616543.54902154,0.10386809898522409,ACORN PUBLIC LIBRARY DISTRICT,060010000,1248609,MISCELLANEOUS,LIBRARY,531129872,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2022,176789512.94592467,180833691.75404853,209727375.73686102,0.15978042422598282,ACORN PUBLIC LIBRARY DISTRICT,060010000,1334001,MISCELLANEOUS,LIBRARY,516879499,South,1,0,0,NA,0,Acorn Public Library District_0_0,06,Other
Acorn Public Library District,2023,243237704.8038988,243237704.8038988,243237704.8038988,0,ACORN PUBLIC LIBRARY DISTRICT,060010000,1389795,MISCELLANEOUS,LIBRARY,733677889,South,1,1,0,NA,0,Acorn Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2006,270527110.72536564,NA,NA,NA,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2280203,MISCELLANEOUS,LIBRARY,732479205,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2007,269196671.472274,NA,NA,NA,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2353352,MISCELLANEOUS,LIBRARY,765568414,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2008,289627572.0136977,289627572.0136977,289627572.0136977,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2459700,MISCELLANEOUS,LIBRARY,862684686,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2009,239684275.24405804,289627572.0136977,263452208.14978483,-0.09037593928617715,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2487092,MISCELLANEOUS,LIBRARY,807759976,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2010,235885195.45454547,289627572.0136977,251265471.55955985,-0.13245320598248678,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2568789,MISCELLANEOUS,LIBRARY,778421145,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2011,217984554.29879484,217984554.29879484,217984554.29879484,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2610901,MISCELLANEOUS,LIBRARY,647544917,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2012,211623438.4801825,217984554.29879484,210735073.4704446,-0.03325685552203517,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2699099,MISCELLANEOUS,LIBRARY,593730719,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2013,207849421.5093347,217984554.29879484,207201251.14190122,-0.04946819829313576,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2758069,MISCELLANEOUS,LIBRARY,553315945,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2014,196951378.56382784,196951378.56382784,196951378.56382784,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2847803,MISCELLANEOUS,LIBRARY,536751592,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2015,192523445.006558,196951378.56382784,202359195.84172812,0.027457625924399043,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2887726,MISCELLANEOUS,LIBRARY,513748813,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2016,191635638.91267124,196951378.56382784,205118534.43616658,0.041467878680991,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2892400,MISCELLANEOUS,LIBRARY,537193023,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2017,213624364.9373882,213624364.9373882,213624364.9373882,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2892400,MISCELLANEOUS,LIBRARY,632904906,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2018,210980678.48431757,213624364.9373882,219973641.32681915,0.02972168643446582,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926100,MISCELLANEOUS,LIBRARY,614143657,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2019,213193121.7421125,213624364.9373882,223218699.521348,0.0449121736969087,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926700,MISCELLANEOUS,LIBRARY,621671143,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2020,233243936.52664888,233243936.52664888,233243936.52664888,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2926700,MISCELLANEOUS,LIBRARY,751838505,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2021,233753250.40796617,233243936.52664888,254159521.61400238,0.08967257798345307,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,2997830,MISCELLANEOUS,LIBRARY,701890885,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2022,232366012.24475834,233243936.52664888,265310473.86986238,0.13748069004807673,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,3077494,MISCELLANEOUS,LIBRARY,679368510,South,1,0,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Merrionette Park Public Library District,2023,301785540.8944733,301785540.8944733,301785540.8944733,0,ALSIP MERRIONETTE PARK PUBLIC LIBRARY DISTRICT,060020000,3009590,MISCELLANEOUS,LIBRARY,910275727,South,1,1,0,NA,0,Alsip Merrionette Park Public Library District_0_0,06,Other
Alsip Park District,2006,255476592.92362243,NA,NA,NA,ALSIP PARK DISTRICT,050010000,2374624,MISCELLANEOUS,PARK,691728423,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2007,254083915.74949893,NA,NA,NA,ALSIP PARK DISTRICT,050010000,2438122,MISCELLANEOUS,PARK,722589248,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2008,274020384.7445108,274020384.7445108,274020384.7445108,0,ALSIP PARK DISTRICT,050010000,2528878,MISCELLANEOUS,PARK,816197118,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2009,224814479.68903002,274020384.7445108,248503979.5590202,-0.0931186386344266,ALSIP PARK DISTRICT,050010000,2703420,MISCELLANEOUS,PARK,757647278,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2010,221514724.84848487,274020384.7445108,236651131.89827898,-0.13637398867633121,ALSIP PARK DISTRICT,050010000,2752285,MISCELLANEOUS,PARK,730998592,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2011,204378073.1165421,204378073.1165421,204378073.1165421,0,ALSIP PARK DISTRICT,050010000,2744591,MISCELLANEOUS,PARK,607125504,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2012,198309971.48560023,204378073.1165421,196816405.6600499,-0.036998428163966146,ALSIP PARK DISTRICT,050010000,2750587,MISCELLANEOUS,PARK,556378456,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2013,194485180.8722437,204378073.1165421,193141141.69645864,-0.05498110070582696,ALSIP PARK DISTRICT,050010000,2854424,MISCELLANEOUS,PARK,517739000,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2014,182522029.13440722,182522029.13440722,182522029.13440722,0,ALSIP PARK DISTRICT,050010000,2906639,MISCELLANEOUS,PARK,497427286,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2015,178139851.22728124,182522029.13440722,187869481.38537565,0.029297571785324772,ALSIP PARK DISTRICT,050010000,2923180,MISCELLANEOUS,PARK,475366193,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2016,178314942.92237443,182522029.13440722,190601674.00620824,0.04426668337031936,ALSIP PARK DISTRICT,050010000,2953263,MISCELLANEOUS,PARK,499852448,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2017,199038977.9592939,199038977.9592939,199038977.9592939,0,ALSIP PARK DISTRICT,050010000,3049158,MISCELLANEOUS,PARK,589692780,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2018,196353337.79930606,199038977.9592939,205055759.98535487,0.030229164597556757,ALSIP PARK DISTRICT,050010000,3122615,MISCELLANEOUS,PARK,571564931,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2019,198194274.69135803,199038977.9592939,208132017.06191054,0.04568471560618792,ALSIP PARK DISTRICT,050010000,3189659,MISCELLANEOUS,PARK,577934505,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2020,217640469.06992617,217640469.06992617,217640469.06992617,0,ALSIP PARK DISTRICT,050010000,3255922,MISCELLANEOUS,PARK,701542288,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2021,216830544.17690745,217640469.06992617,236729457.69973418,0.0877088195563247,ALSIP PARK DISTRICT,050010000,3363759,MISCELLANEOUS,PARK,651077075,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2022,215354910.21650648,217640469.06992617,246892915.50760534,0.13440720176117882,ALSIP PARK DISTRICT,050010000,3644992,MISCELLANEOUS,PARK,629633151,South,1,0,0,NA,0,Alsip Park District_0_0,05,Other
Alsip Park District,2023,280077101.41564167,280077101.41564167,280077101.41564167,0,ALSIP PARK DISTRICT,050010000,3835016,MISCELLANEOUS,PARK,844796561,South,1,1,0,NA,0,Alsip Park District_0_0,05,Other
Arlington Heights Park District,2006,1004356608.4355149,NA,NA,NA,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12531652,MISCELLANEOUS,PARK,2719395953,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2007,1124252773.655895,1124252773.655895,1124252773.655895,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12914014,MISCELLANEOUS,PARK,3197262463,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2008,1150413385.818841,1124252773.655895,1075617742.6952581,-0.04325987189027192,ARLINGTON HEIGHTS PARK DISTRICT,050020000,12954238,MISCELLANEOUS,PARK,3426621311,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2009,1043785376.1015995,1124252773.655895,1052094989.5229157,-0.06418288291016028,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13782839,MISCELLANEOUS,PARK,3517661096,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2010,984568500,984568500,984568500,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14605176,MISCELLANEOUS,PARK,3249076050,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2011,997984427.051774,984568500,953592080.9509277,-0.03146192372503509,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14703506,MISCELLANEOUS,PARK,2964612539,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2012,977834021.9560878,984568500,938471277.4292809,-0.04681972109682475,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14951599,MISCELLANEOUS,PARK,2743411132,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2013,894532313.962661,894532313.962661,894532313.962661,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15062963,MISCELLANEOUS,PARK,2381334473,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2014,882889159.7255349,894532313.962661,925844748.6224657,0.03500425213382696,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15301614,MISCELLANEOUS,PARK,2406137827,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2015,880232554.993442,894532313.962661,941909624.5825925,0.052963218746180596,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14683432,MISCELLANEOUS,PARK,2348900573,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2016,991796190.0684931,991796190.0684931,991796190.0684931,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13565306,MISCELLANEOUS,PARK,2780203080,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2017,954230855.638438,991796190.0684931,1028626269.1195567,0.0371347252791121,ARLINGTON HEIGHTS PARK DISTRICT,050020000,13953392,MISCELLANEOUS,PARK,2827099756,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2018,961942265.9658525,991796190.0684931,1047551055.855937,0.056216051589786264,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14368978,MISCELLANEOUS,PARK,2800117742,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2019,1106440240.0548697,1106440240.0548697,1106440240.0548697,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,14736958,MISCELLANEOUS,PARK,3226379740,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2020,1008131885.5866477,1106440240.0548697,1141764909.9555845,0.03192641466019275,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15218181,MISCELLANEOUS,PARK,3249612320,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2021,1000118888.3338329,1106440240.0548697,1159847942.3051238,0.048269848037708396,ARLINGTON HEIGHTS PARK DISTRICT,050020000,15614527,MISCELLANEOUS,PARK,3003056986,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2022,1215833626.227041,1215833626.227041,1215833626.227041,0,ARLINGTON HEIGHTS PARK DISTRICT,050020000,16489662,MISCELLANEOUS,PARK,3554732773,North,1,1,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Park District,2023,1209312169.5454695,1215833626.227041,NA,NA,ARLINGTON HEIGHTS PARK DISTRICT,050020000,17544752,MISCELLANEOUS,PARK,3647648297,North,1,0,0,NA,0,Arlington Heights Park District_0_0,05,Other
Arlington Heights Township High School 214,2006,3446209773.6002364,NA,NA,NA,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,170089071,SCHOOL,SECONDARY,9330957583,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2007,3813698941.945919,3813698941.945919,3813698941.945919,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,175769291,SCHOOL,SECONDARY,10845778421,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2008,3833127749.2781844,3813698941.945919,3579415142.6797934,-0.06143216935382523,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,181097369,SCHOOL,SECONDARY,11417354314,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2009,3368584866.3244414,3813698941.945919,3467727027.8024907,-0.09071820282879961,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,185621636,SCHOOL,SECONDARY,11352467858,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2010,3153141063.939394,3153141063.939394,3153141063.939394,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,191279771,SCHOOL,SECONDARY,10405365511,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2011,3172093779.707803,3153141063.939394,3026527367.361766,-0.04015478343980039,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,194676542,SCHOOL,SECONDARY,9423021782,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2012,3085448280.9381237,3153141063.939394,2965140029.292316,-0.059623413870420916,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,201107855,SCHOOL,SECONDARY,8656533697,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2013,2788348258.1420684,2788348258.1420684,2788348258.1420684,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,205449414,SCHOOL,SECONDARY,7422861898,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2014,2769851242.432026,2788348258.1420684,2872389203.669417,0.03014004627361233,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,209528716,SCHOOL,SECONDARY,7548675591,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2015,2759784895.259509,2788348258.1420684,2915354832.267684,0.04554903561804102,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,212128300,SCHOOL,SECONDARY,7364485993,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2016,3048146433.361872,3048146433.361872,3048146433.361872,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,215855384,SCHOOL,SECONDARY,8544564082,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2017,2918660185.6414757,3048146433.361872,3171370911.264407,0.040426036149000755,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,221616637,SCHOOL,SECONDARY,8647114532,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2018,2941467738.5001206,3048146433.361872,3234838804.8666587,0.061247835557191044,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,228444736,SCHOOL,SECONDARY,8562318440,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2019,3432965680.0411525,3432965680.0411525,3432965680.0411525,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,235776215,SCHOOL,SECONDARY,10010527923,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2020,3167405628.839114,3432965680.0411525,3559886050.4185004,0.03697105715773619,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,243132673,SCHOOL,SECONDARY,10209815304,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2021,3149915311.219902,3432965680.0411525,3625095183.170058,0.05596604249378978,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,251904377,SCHOOL,SECONDARY,9458250705,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2022,3827977414.2353864,3827977414.2353864,3827977414.2353864,0,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,263161760,SCHOOL,SECONDARY,11191857566,North,1,1,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Arlington Heights Township High School 214,2023,3807873734.045022,3827977414.2353864,NA,NA,ARLINGTON HEIGHTS TOWNSHIP HIGH SCHOOL 214,042150000,280778079,SCHOOL,SECONDARY,11485689544,North,1,0,0,NA,0,Arlington Heights Township High School 214_0_0,04,School
Bedford Park Park District,2006,175810559.53612056,NA,NA,NA,BEDFORD PARK PARK DISTRICT,050060000,1226192,MISCELLANEOUS,PARK,476024671,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2007,174486161.9606878,NA,NA,NA,BEDFORD PARK PARK DISTRICT,050060000,1273828,MISCELLANEOUS,PARK,496221196,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2008,183299992.9497079,183299992.9497079,183299992.9497079,0,BEDFORD PARK PARK DISTRICT,050060000,1341501,MISCELLANEOUS,PARK,545977359,South,1,1,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2009,149867626.18319932,183299992.9497079,165198626.5053974,-0.09875268489113886,BEDFORD PARK PARK DISTRICT,050060000,1415778,MISCELLANEOUS,PARK,505068887,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2010,139750983.63636366,183299992.9497079,156829740.61012423,-0.14440945639777703,BEDFORD PARK PARK DISTRICT,050060000,1461378,MISCELLANEOUS,PARK,461178246,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2011,134182043.0216118,134182043.0216118,134182043.0216118,0,BEDFORD PARK PARK DISTRICT,050060000,1484795,MISCELLANEOUS,PARK,398601177,South,1,1,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2012,132048455.94525234,134182043.0216118,131542334.94285788,-0.01967258821904183,BEDFORD PARK PARK DISTRICT,050060000,1492824,MISCELLANEOUS,PARK,370475148,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2013,128685157.2067165,134182043.0216118,130242018.93767975,-0.029363273916595878,BEDFORD PARK PARK DISTRICT,050060000,1395623,MISCELLANEOUS,PARK,342572757,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2014,126417686.8601622,126417686.8601622,126417686.8601622,0,BEDFORD PARK PARK DISTRICT,050060000,1423018,MISCELLANEOUS,PARK,344526122,South,1,1,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2015,125465751.17106989,126417686.8601622,129553735.40964447,0.02480703948452434,BEDFORD PARK PARK DISTRICT,050060000,1386019,MISCELLANEOUS,PARK,334805357,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2016,126758638.34189498,126417686.8601622,131150813.70465355,0.03744038482310574,BEDFORD PARK PARK DISTRICT,050060000,1427286,MISCELLANEOUS,PARK,355329815,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2017,136061150.63961926,136061150.63961926,136061150.63961926,0,BEDFORD PARK PARK DISTRICT,050060000,1475783,MISCELLANEOUS,PARK,403108371,South,1,1,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2018,138051135.04414442,136061150.63961926,145184488.3664448,0.06705321602777148,BEDFORD PARK PARK DISTRICT,050060000,1516123,MISCELLANEOUS,PARK,401853049,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2019,141280800.41152263,136061150.63961926,149973061.80622804,0.10224749019987933,BEDFORD PARK PARK DISTRICT,050060000,1557775,MISCELLANEOUS,PARK,411974814,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2020,165307430.97350624,165307430.97350624,165307430.97350624,0,BEDFORD PARK PARK DISTRICT,050060000,1621834,MISCELLANEOUS,PARK,532851973,South,1,1,0,NA,0,Bedford Park Park District_0_0,05,Other
Bedford Park Park District,2021,164617827.95484066,165307430.97350624,183501564.88031211,0.11006240796109057,BEDFORD PARK PARK DISTRICT,050060000,1694221,MISCELLANEOUS,PARK,494297952,South,1,0,0,NA,0,Bedford Park Park District_0_0,05,Other
